Sexo,Edad,DS_00,DS_01,DS_02,DS_03,DS_04,DS_05,DS_06,DS_07,DS_08,DS_09,DS_10,DS_11,DS_12,DS_13,DS_14,DS_15,DS_16,DS_17,DS_18,DS_19,DS_20,DS_21,DS_22,DS_23,DS_24
H,37,0,653,2153,1467,1147,2498,2307,2252,367,2760,2114,2035,1312,1150,1449,1082,1322,1529,1480,2113,1330,1336,1072,1679,1294
H,38,0,712,2246,1563,1252,2756,2498,2401,347,2819,2181,2148,1442,1153,1584,1086,1447,1537,1461,2271,1322,1404,1178,1776,1456
H,39,0,742,2415,1667,1272,3020,2825,2504,382,3102,2262,2260,1525,1297,1602,1104,1498,1661,1558,2320,1546,1389,1212,1805,1428
H,40,0,732,2485,1712,1270,3005,2890,2603,383,3234,2360,2282,1561,1276,1659,1098,1567,1789,1550,2439,1523,1478,1264,1933,1436
H,41,0,750,2566,1752,1325,2961,2884,2634,408,3142,2391,2252,1477,1280,1680,1159,1496,1800,1654,2466,1494,1533,1279,1866,1366
H,42,0,722,2540,1622,1366,2976,2863,2584,387,3203,2371,2271,1523,1296,1644,1078,1501,1830,1622,2395,1515,1472,1189,1926,1417
H,43,0,715,2516,1611,1302,2911,2785,2598,384,3193,2363,2264,1577,1317,1657,1129,1561,1816,1586,2387,1463,1469,1241,1844,1353
H,44,2,728,2418,1580,1197,2754,2842,2471,341,3108,2339,2111,1456,1242,1601,1114,1452,1814,1553,2287,1445,1404,1260,1801,1345
H,45,1,704,2349,1546,1248,2866,2794,2469,382,2962,2267,2075,1523,1326,1661,1094,1493,1889,1545,2202,1435,1362,1177,1669,1230
H,46,0,681,2367,1588,1151,2804,2718,2424,352,2981,2214,2142,1419,1254,1566,1102,1483,1812,1541,2256,1344,1426,1231,1820,1225
H,47,0,648,2308,1537,1186,2684,2641,2346,388,2997,2258,2203,1494,1266,1599,1077,1436,1758,1485,2213,1303,1354,1228,1737,1247
H,48,0,707,2286,1488,1169,2594,2566,2300,339,2858,2191,2071,1441,1287,1584,1112,1425,1815,1445,2178,1320,1402,1267,1722,1183
H,49,1,681,2255,1524,1118,2629,2478,2178,370,2867,2205,2010,1453,1279,1620,1033,1353,1643,1407,2084,1245,1348,1189,1697,1241
H,50,0,707,2400,1559,1190,2679,2531,2207,410,2891,2138,2129,1405,1297,1641,1086,1312,1708,1447,2002,1236,1255,1191,1654,1237
H,51,0,677,2210,1442,1096,2592,2493,2056,371,2747,2173,1993,1448,1221,1568,1034,1361,1670,1397,2063,1283,1339,1136,1560,1121
