positius,positius_diaris,morts,morts_diaris,recuperats,recuperats_diaris,hospitalitzats,uci,casos_actius,Data
399950,86.0,7255.0,7.0,388843.0,175.0,302.0,66.0,3852,2021-04-18
400056,106.0,7263.0,8.0,389073.0,230.0,294.0,68.0,3720,2021-04-19
400238,182.0,7270.0,7.0,389265.0,192.0,281.0,64.0,3703,2021-04-20
400460,222.0,7276.0,6.0,389457.0,192.0,275.0,66.0,3727,2021-04-21
400642,182.0,7282.0,6.0,389654.0,197.0,268.0,63.0,3706,2021-04-22
400949,307.0,7288.0,6.0,389654.0,0.0,268.0,63.0,4007,2021-04-23
401093,144.0,7288.0,0.0,389654.0,0.0,268.0,63.0,4151,2021-04-24
401175,82.0,7295.0,7.0,389889.0,235.0,266.0,62.0,3991,2021-04-25
401319,144.0,7302.0,7.0,390063.0,174.0,257.0,60.0,3954,2021-04-26
401543,224.0,7307.0,5.0,390243.0,180.0,256.0,54.0,3993,2021-04-27
401758,215.0,7310.0,3.0,390475.0,232.0,257.0,55.0,3973,2021-04-28
401944,186.0,7315.0,5.0,390759.0,284.0,246.0,56.0,3870,2021-04-29
