date,cases,deaths,icu,recovered,hospitalized
2020-05-06,13064,1291,701.0,7747.0,5225.0
2020-05-07,13311,1303,704.0,8010.0,5252.0
2020-05-08,13507,1309,706.0,8181.0,5287.0
2020-05-09,13676,1315,709.0,8796.0,5317.0
2020-05-10,13840,1323,716.0,8861.0,5354.0
2020-05-11,13881,1330,716.0,8945.0,5355.0
2020-05-12,13937,1336,717.0,9089.0,5360.0
2020-05-13,14045,1341,717.0,9268.0,5370.0
2020-05-14,14154,1349,717.0,9490.0,5389.0
2020-05-15,14392,1358,721.0,9708.0,5415.0
