Fecha,Casos activos COVID-19,Casos acumulados COVID-19,Nuevos casos diarios COVID-19,Personas recuperadas,Casos detectados COVID-19,Casos detectados acumulados,Personas hospitalizadas por COVID-19,Ingresados en UCI,Número total de fallecidos
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,2.0,2.0,2.0,0.0,0.19,0.19,0.06998104679982506,0.013996209359965012,0.02564102564102564
2020-02-19,7.0,7.0,5.0,0.0,0.665,0.665,0.2449336637993877,0.04898673275987754,0.08974358974358974
2020-02-20,11.0,11.0,4.0,0.0,1.045,1.045,0.38489575739903775,0.07697915147980755,0.14102564102564102
2020-02-21,13.0,13.0,2.0,0.0,1.235,1.235,0.4548768041988629,0.09097536083977259,0.16666666666666666
2020-02-22,20.0,20.0,7.0,0.0,1.9,1.9,0.6998104679982504,0.1399620935996501,0.2564102564102564
2020-02-23,23.0,23.0,3.0,0.0,2.185,2.185,0.8047820381979882,0.16095640763959765,0.2948717948717949
2020-02-24,27.0,27.0,4.0,0.0,2.565,2.565,0.9447441317976382,0.18894882635952764,0.34615384615384615
2020-02-25,37.0,37.0,10.0,0.0,3.515,3.515,1.2946493657967635,0.25892987315935273,0.47435897435897434
2020-02-26,52.0,52.0,15.0,0.0,4.94,4.94,1.8195072167954516,0.36390144335909036,0.6666666666666666
2020-02-27,64.0,64.0,12.0,0.0,6.08,6.08,2.239393497594402,0.4478786995188804,0.8205128205128205
2020-02-28,79.0,79.0,15.0,0.0,7.505,7.505,2.7642513485930893,0.5528502697186178,1.0128205128205128
2020-02-29,103.0,103.0,24.0,0.0,9.785,9.785,3.6040239101909903,0.7208047820381981,1.3205128205128205
2020-03-01,142.0,142.0,39.0,0.0,13.49,13.49,4.968654322787579,0.9937308645575158,1.8205128205128205
2020-03-02,212.0,212.0,70.0,0.0,20.14,20.14,7.417990960781456,1.4835981921562913,2.717948717948718
2020-03-03,337.0,338.0,126.0,1.0,32.015,32.11,11.791806385770522,2.3583612771541045,4.333333333333333
2020-03-04,528.0,530.0,192.0,2.0,50.160000000000004,50.35,18.474996355153817,3.6949992710307633,6.794871794871795
2020-03-05,765.0,767.0,237.0,2.0,72.675,72.865,26.767750400933082,5.353550080186617,9.833333333333334
2020-03-06,1128.0,1130.0,363.0,2.0,107.16,107.35,39.469310395101324,7.893862079020265,14.487179487179487
2020-03-07,1700.0,1706.0,576.0,6.0,161.5,162.07,59.483889779851296,11.89677795597026,21.871794871794872
2020-03-08,2553.0,2563.0,857.0,10.0,242.535,243.485,89.33080623997668,17.866161247995336,32.85897435897436
2020-03-09,3663.0,3676.0,1113.0,13.0,347.985,349.22,128.1702872138796,25.63405744277592,47.12820512820513
2020-03-10,5289.0,5306.0,1630.0,17.0,502.455,504.07,185.06487826213734,37.01297565242747,68.02564102564102
2020-03-11,7864.0,7886.0,2580.0,22.0,747.08,749.17,275.1654760169121,55.03309520338243,101.1025641025641
2020-03-12,11751.0,11778.0,3892.0,27.0,1116.345,1118.91,411.1736404723721,82.23472809447442,151.0
2020-03-13,17493.0,17531.0,5753.0,38.0,1661.835,1665.445,612.0892258346698,122.41784516693397,224.75641025641025
2020-03-14,25619.0,25676.0,8145.0,57.0,2433.805,2439.2200000000003,896.422218982359,179.2844437964718,329.1794871794872
2020-03-15,27873.0,27963.0,2287.0,90.0,2647.935,2656.485,975.2908587257617,195.05817174515235,358.5
2020-03-16,30333.0,30467.0,2504.0,133.0,2881.635,2894.3650000000002,1061.3675462895467,212.27350925790935,390.6025641025641
2020-03-17,32807.0,32998.0,2531.0,187.0,3116.665,3134.81,1147.9341011809302,229.58682023618604,423.05128205128204
2020-03-18,35317.0,35594.0,2596.0,273.0,3355.1150000000002,3381.43,1235.7603149147108,247.15206298294217,456.3333333333333
2020-03-19,37717.0,38146.0,2552.0,422.0,3583.1150000000002,3623.87,1319.7375710745007,263.94751421490014,489.05128205128204
2020-03-20,40165.0,40787.0,2641.0,613.0,3815.675,3874.765,1405.3943723574866,281.07887447149733,522.9102564102565
2020-03-21,42488.0,43373.0,2586.0,870.0,4036.36,4120.435,1486.6773582154835,297.3354716430967,556.0641025641025
2020-03-22,44725.0,45913.0,2540.0,1170.0,4248.875,4361.735,1564.9511590610878,312.9902318122176,588.6282051282051
2020-03-23,46765.0,48387.0,2474.0,1597.0,4442.675,4596.765,1636.3318267969094,327.2663653593819,620.3461538461538
2020-03-24,48732.0,50905.0,2518.0,2138.0,4629.54,4835.975,1705.1581863245374,341.0316372649075,652.6282051282051
2020-03-25,50483.0,53265.0,2360.0,2739.0,4795.885,5060.175,1766.4265927977842,353.28531855955686,682.8846153846154
2020-03-26,52135.0,55650.0,2385.0,3466.0,4952.825,5286.75,1824.2309374544393,364.84618749088787,713.4615384615385
2020-03-27,53591.0,57973.0,2323.0,4324.0,5091.145,5507.435,1875.1771395247124,375.0354279049425,743.2435897435897
2020-03-28,54905.0,60262.0,2289.0,5286.0,5215.975,5724.89,1921.1546872721974,384.2309374544395,772.5897435897435
2020-03-29,55417.0,61914.0,1652.0,6413.0,5264.615,5881.83,1939.0698352529525,387.8139670505905,793.7692307692307
2020-03-30,55803.0,63539.0,1625.0,7639.0,5301.285,6036.205,1952.5761772853186,390.51523545706374,814.6025641025641
2020-03-31,55905.0,65106.0,1567.0,9083.0,5310.975,6185.07,1956.1452106721097,391.22904213442195,834.6923076923077
2020-04-01,55927.0,66626.0,1520.0,10568.0,5313.0650000000005,6329.47,1956.9150021869082,391.38300043738167,854.1794871794872
2020-04-02,55667.0,68038.0,1412.0,12212.0,5288.365,6463.61,1947.8174661029304,389.5634932205861,872.2820512820513
2020-04-03,55212.0,69354.0,1316.0,13962.0,5245.14,6588.63,1931.8967779559707,386.37935559119416,889.1538461538462
2020-04-04,54639.0,70625.0,1271.0,15786.0,5190.705,6709.375,1911.8472080478205,382.3694416095641,905.4487179487179
2020-04-05,53989.0,71897.0,1272.0,17686.0,5128.955,6830.215,1889.1033678378772,377.82067356757545,921.7564102564103
2020-04-06,53185.0,73108.0,1211.0,19681.0,5052.575,6945.26,1860.9709870243476,372.19419740486956,937.2820512820513
2020-04-07,52159.0,74146.0,1038.0,21731.0,4955.1050000000005,7043.87,1825.0707100160375,365.01414200320755,950.5897435897435
2020-04-08,51188.0,75211.0,1065.0,23753.0,4932.938809523809,7248.01244047619,1715.8397113768167,343.1679422753634,964.2435897435897
2020-04-09,50053.0,76197.0,986.0,25853.0,4892.08488095238,7447.3496428571425,1608.2729379106993,321.65458758213987,976.8846153846154
2020-04-10,48789.0,77119.0,922.0,28025.0,4835.338392857143,7643.04375,1503.5861030935982,300.71722061871964,988.7051282051282
2020-04-11,47403.0,77979.0,860.0,30251.0,4762.872857142856,7835.032857142856,1401.9663855312544,280.3932771062509,999.7307692307693
2020-04-12,45989.0,78795.0,816.0,32461.0,4683.760654761904,8024.895535714285,1306.0296528043632,261.2059305608727,1010.1923076923077
2020-04-13,44565.0,79552.0,757.0,34625.0,4599.744642857142,8210.902857142857,1215.894044673679,243.1788089347358,1019.8974358974359
2020-04-14,43406.0,80534.0,982.0,36749.0,4539.544166666666,8422.514166666666,1138.3703654612202,227.67407309224404,1032.4871794871794
2020-04-15,42231.0,81555.0,1021.0,38922.0,4474.474999999999,8640.946428571428,1065.1737575978525,213.0347515195705,1045.576923076923
2020-04-16,41028.0,82512.0,957.0,41061.0,4403.183571428571,8855.305714285712,995.7315465611053,199.1463093122211,1057.8461538461538
2020-04-17,39815.0,83401.0,889.0,43144.0,4327.511309523808,9064.894404761902,930.2367662385653,186.0473532477131,1069.2435897435898
2020-04-18,38582.0,84270.0,869.0,45230.0,4246.316547619047,9274.71607142857,868.2066402732888,173.64132805465778,1080.3846153846155
2020-04-19,37414.0,85089.0,819.0,47195.0,4168.98857142857,9481.345714285711,811.2705456936231,162.25410913872463,1090.8846153846155
2020-04-20,36188.0,85922.0,833.0,49241.0,4081.920238095237,9691.797023809522,756.4601223348179,151.2920244669636,1101.5641025641025
2020-04-21,35052.0,86732.0,810.0,51170.0,4001.769999999999,9901.90333333333,706.6690882193154,141.33381764386309,1111.948717948718
2020-04-22,33922.0,87540.0,808.0,53090.0,3919.202499999999,10113.996428571427,659.8632527807758,131.97265055615517,1122.3076923076924
2020-04-23,32801.0,88305.0,765.0,54956.0,3834.593095238094,10323.274999999998,615.9021692948174,123.1804338589635,1132.1153846153845
2020-04-24,31793.0,89023.0,718.0,56671.0,3760.279226190475,10529.089345238091,576.483668711697,115.2967337423394,1141.320512820513
2020-04-25,30871.0,89877.0,854.0,58437.0,3693.4946428571416,10753.141071428568,540.7687982896837,108.15375965793675,1152.2692307692307
2020-04-26,29988.0,90647.0,770.0,60081.0,3628.904999999999,10969.366130952378,507.67346710154544,101.5346934203091,1162.1410256410256
2020-04-27,29170.0,91423.0,776.0,61661.0,3569.85238095238,11188.433809523805,477.43713796260147,95.4874275925203,1172.0897435897436
2020-04-28,28343.0,92219.0,796.0,63267.0,3507.4462499999986,11412.101249999996,448.6745632016527,89.73491264033055,1182.2948717948718
2020-04-29,27617.0,92983.0,764.0,64747.0,3455.412738095237,11633.9444047619,422.98743312518064,84.59748662503614,1192.0897435897436
2020-04-30,26938.0,93759.0,776.0,66193.0,3407.336309523808,11859.397321428565,399.3352477210997,79.86704954421994,1202.0384615384614
2020-05-01,26341.0,94533.0,774.0,67555.0,3367.884999999999,12086.719285714282,378.0754930092193,75.61509860184387,1211.9615384615386
2020-05-02,25832.0,95328.0,795.0,68851.0,3338.1709523809513,12318.874285714282,359.11013446323244,71.82202689264649,1222.1538461538462
2020-05-03,25298.0,96094.0,766.0,70139.0,3303.798333333332,12549.418809523804,340.7418040378827,68.14836080757654,1231.974358974359
2020-05-04,24792.0,96814.0,720.0,71355.0,3271.6585714285698,12775.990357142851,323.6410367988884,64.72820735977768,1241.2051282051282
2020-05-05,24307.0,97596.0,782.0,72615.0,3240.9333333333334,13012.8,307.63546875000003,61.527093750000006,1251.2307692307693
2020-05-06,23856.0,98362.0,766.0,73819.0,3180.8,13114.933333333332,301.9275,60.38550000000001,1261.051282051282
2020-05-07,23475.0,99149.0,787.0,74980.0,3130.0,13219.866666666667,297.10546875,59.421093750000004,1271.1410256410256
2020-05-08,23073.0,99892.0,743.0,76116.0,3076.4,13318.933333333332,292.01765625,58.40353125000001,1280.6666666666667
2020-05-09,22783.0,100639.0,747.0,77148.0,3037.733333333333,13418.533333333333,288.34734375,57.66946875,1290.2435897435898
2020-05-10,22540.0,101414.0,775.0,78160.0,3005.3333333333335,13521.866666666667,285.271875,57.05437500000001,1300.179487179487
2020-05-11,22333.0,102197.0,783.0,79145.0,2977.733333333333,13626.266666666666,282.65203125,56.53040625,1310.2179487179487
2020-05-12,22051.0,102891.0,694.0,80111.0,2940.133333333333,13718.8,279.08296875,55.81659375000001,1319.1153846153845
2020-05-13,21846.0,103667.0,776.0,81077.0,2912.8,13822.266666666666,276.48843750000003,55.29768750000001,1329.0641025641025
2020-05-14,21590.0,104431.0,764.0,82089.0,2878.6666666666665,13924.133333333333,273.24843749999997,54.6496875,1338.8589743589744
2020-05-15,21381.0,105173.0,742.0,83032.0,2850.8,14023.066666666666,270.60328125,54.12065625,1348.371794871795
2020-05-16,21137.0,105877.0,704.0,83970.0,2818.2666666666664,14116.933333333332,267.51515625,53.50303125000001,1357.3974358974358
2020-05-17,20934.0,106600.0,723.0,84890.0,2791.2,14213.333333333334,264.94593749999996,52.98918749999999,1366.6666666666667
2020-05-18,20796.0,107343.0,743.0,85767.0,2772.8,14312.4,263.19937500000003,52.63987500000001,1376.1923076923076
2020-05-19,20506.0,108006.0,663.0,86717.0,2734.133333333333,14400.8,259.5290625,51.9058125,1384.6923076923076
2020-05-20,20350.0,108732.0,726.0,87583.0,2713.3333333333335,14497.6,257.5546875,51.510937500000004,1394.0
2020-05-21,20200.0,109470.0,738.0,88467.0,2693.3333333333335,14596.0,255.65625000000003,51.13125000000001,1403.4615384615386
2020-05-22,20028.0,110163.0,693.0,89320.0,2670.4,14688.4,253.479375,50.695875,1412.3461538461538
